feature,coefficient,abs_coefficient
age,0.6778702196992066,0.6778702196992066
BMI,0.5817987856929298,0.5817987856929298
sex,0.2176892577144122,0.2176892577144122
Tc,-0.004212991851277369,0.004212991851277369
Tc/Tpi,0.002444078736517296,0.002444078736517296
Tpw75/Tpi,0.0019874588260557734,0.0019874588260557734
Ac/Aa,-0.0004230165712147511,0.0004230165712147511
Ta/Tpi,0.0,0.0
Tw/Tpi,0.0,0.0
Tv/Tpi,0.0,0.0
Tu/Tpi,0.0,0.0
Tp2-dp,0.0,0.0
Tp1-dp,0.0,0.0
Tp2,0.0,0.0
Tp1,0.0,0.0
Tb-d,0.0,0.0
Tf,0.0,0.0
Tb-c,0.0,0.0
Te,0.0,0.0
Td,0.0,0.0
Tb,0.0,0.0
Ta,0.0,0.0
Tw,0.0,0.0
Tv,0.0,0.0
Tu,0.0,0.0
Asp/(Tpi-Tsp),0.0,0.0
Asp/deltaT,0.0,0.0
Tb/Tpi,0.0,0.0
Te/Tpi,0.0,0.0
Td/Tpi,0.0,0.0
IPA,0.0,0.0
IPAD,0.0,0.0
SC,0.0,0.0
RIp2,0.0,0.0
RIp1,0.0,0.0
AI,0.0,0.0
AGIinf,0.0,0.0
AGImod,0.0,0.0
AGI,0.0,0.0
(Ad-Ab)/Aa,0.0,0.0
(Ac-Ab)/Aa,0.0,0.0
Ap2/Ap1,0.0,0.0
Af/Aa,0.0,0.0
Ae/Aa,0.0,0.0
Ad/Aa,0.0,0.0
Ab/Aa,0.0,0.0
Aw/Au,0.0,0.0
Av/Au,0.0,0.0
Au/Asp,0.0,0.0
(Tv-Tb)/Tpi,0.0,0.0
(Tu-Ta)/Tpi,0.0,0.0
Tf/Tpi,0.0,0.0
Tsp/Asp,0.0,0.0
Tpi,0.0,0.0
Tpp,0.0,0.0
Tsw90,0.0,0.0
Tpw33,0.0,0.0
Tpw25,0.0,0.0
Tpw10,0.0,0.0
Tdw90,0.0,0.0
Tdw75,0.0,0.0
Tdw66,0.0,0.0
Tdw50,0.0,0.0
Tdw33,0.0,0.0
Tdw25,0.0,0.0
Tdw10,0.0,0.0
Tsw75,0.0,0.0
Tpw66,0.0,0.0
Tsw66,0.0,0.0
Tsw50,0.0,0.0
Tsw33,0.0,0.0
Tsw25,0.0,0.0
Tsw10,0.0,0.0
deltaT,0.0,0.0
Tdp,0.0,0.0
Tsp,0.0,0.0
Tdia,0.0,0.0
Tsys,0.0,0.0
Tpw50,0.0,0.0
Tpw75,0.0,0.0
Asp/Aoff,0.0,0.0
Tpw25/Tsp,0.0,0.0
Tsp/Tpi,0.0,0.0
Tdw90/Tsw90,0.0,0.0
Tdw75/Tsw75,0.0,0.0
Tdw66/Tsw66,0.0,0.0
Tdw50/Tsw50,0.0,0.0
Tdw33/Tsw33,0.0,0.0
Tdw25/Tsw25,0.0,0.0
Tdw10/Tsw10,0.0,0.0
Tpw75/Tsp,0.0,0.0
Tpw50/Tsp,0.0,0.0
Tpw50/Tpi,0.0,0.0
Tpw90,0.0,0.0
Tpw25/Tpi,0.0,0.0
Tsys/Tdia,0.0,0.0
IPR,0.0,0.0
AUCdia,0.0,0.0
AUCsys,0.0,0.0
AUCpi,0.0,0.0
Aoff,0.0,0.0
Adp,0.0,0.0
Adn,0.0,0.0
Asp,0.0,0.0
Adp/Asp,0.0,0.0
