feature,importance
sex,0.041568767
age,0.035657797
emb_443,0.022922136
emb_440,0.02242796
emb_239,0.019102776
emb_302,0.017659353
emb_393,0.017533287
emb_74,0.01655684
emb_58,0.01605121
emb_175,0.0148511585
BMI,0.014319154
emb_33,0.013684347
emb_19,0.013511565
emb_17,0.012938242
emb_485,0.012765536
emb_282,0.012765039
emb_136,0.011345446
emb_60,0.011322395
emb_468,0.010778794
emb_296,0.010328596
emb_126,0.009854905
emb_344,0.009720206
emb_3,0.009680565
emb_92,0.008894071
emb_463,0.008802566
emb_79,0.008787554
emb_415,0.008701766
emb_435,0.008179442
emb_343,0.007923952
emb_99,0.007897679
emb_100,0.007845962
emb_309,0.0078090765
emb_20,0.007787075
emb_382,0.0075549516
emb_125,0.007529212
emb_247,0.0074596936
emb_178,0.0074297157
emb_234,0.007375635
emb_162,0.0072949273
emb_130,0.0071822903
emb_50,0.007049608
emb_325,0.006979436
emb_42,0.0069239093
emb_219,0.0068895705
emb_404,0.0068797935
emb_202,0.006841562
emb_341,0.006807653
emb_496,0.006749347
emb_280,0.006725317
emb_318,0.006523265
emb_34,0.0064644064
emb_363,0.0063621253
emb_383,0.0062495484
emb_88,0.0062475875
emb_484,0.0062235678
emb_31,0.0061135776
emb_267,0.00607339
emb_311,0.006058861
emb_508,0.0059549054
emb_14,0.0059283944
emb_255,0.0059138173
emb_321,0.0058956966
emb_146,0.0058615007
emb_396,0.0058486
emb_28,0.0058233393
emb_107,0.005793475
emb_70,0.0057924883
emb_39,0.005763641
emb_38,0.0057593975
emb_313,0.0057397247
emb_21,0.005587292
emb_355,0.005576303
emb_300,0.0055122953
emb_159,0.005480828
emb_243,0.005472889
emb_511,0.0054394053
emb_208,0.005314861
emb_119,0.0052797385
emb_504,0.005277571
emb_8,0.0052633313
emb_400,0.005242143
emb_73,0.005220325
emb_10,0.005165273
emb_320,0.0051441775
emb_63,0.00513364
emb_242,0.005125529
emb_391,0.0051111793
emb_310,0.005091378
emb_223,0.0050830473
emb_492,0.0050723576
emb_113,0.005070751
emb_406,0.0050636507
emb_182,0.0050288965
emb_354,0.0049892524
emb_360,0.004979491
emb_195,0.0049749515
emb_384,0.004970711
emb_254,0.0049606874
emb_500,0.0049378565
emb_426,0.004908991
emb_137,0.004866726
emb_69,0.0048295464
emb_332,0.004805984
emb_139,0.004763091
emb_26,0.004739494
emb_215,0.004626015
emb_6,0.004610613
emb_367,0.0045640343
emb_292,0.0045066713
emb_154,0.004423838
emb_291,0.0043163104
emb_97,0.0043144636
emb_9,0.004282011
emb_150,0.004229836
emb_118,0.0042265975
emb_462,0.004206398
emb_129,0.004087633
emb_335,0.0039290087
emb_4,0.003920855
emb_230,0.0039050167
emb_170,0.0038762614
emb_439,0.0038602154
emb_18,0.0038538873
emb_424,0.0037763629
emb_140,0.0037440713
emb_75,0.00371023
emb_183,0.0036300437
emb_152,0.003513518
emb_85,0.0035099273
emb_249,0.0032899592
emb_459,0.0031967484
emb_115,0.0031888196
emb_409,0.00305158
emb_56,0.0027938236
emb_15,0.002673859
emb_45,0.0026376082
emb_417,0.0020209714
emb_127,0.0
emb_506,0.0
emb_173,0.0
emb_502,0.0
emb_57,0.0
emb_497,0.0
emb_143,0.0
emb_147,0.0
emb_491,0.0
emb_490,0.0
emb_67,0.0
emb_164,0.0
emb_112,0.0
emb_2,0.0
emb_373,0.0
emb_457,0.0
emb_465,0.0
emb_1,0.0
emb_276,0.0
emb_270,0.0
emb_265,0.0
emb_263,0.0
emb_256,0.0
emb_253,0.0
emb_427,0.0
emb_365,0.0
emb_434,0.0
emb_233,0.0
emb_229,0.0
emb_12,0.0
emb_200,0.0
emb_446,0.0
emb_0,0.0
